term,Total,AFD,CDUCSU,FDP,GRUENE,LINKE,SPD
n,131,29.0,40.0,12.0,19.0,17.0,14.0
gaga,40,23.0,6.0,1.0,3.0,3.0,4.0
paygap,22,2.0,2.0,1.0,7.0,7.0,3.0
sprache,21,4.0,7.0,3.0,2.0,4.0,1.0
t,18,9.0,5.0,2.0,0.0,1.0,1.0
sternchen,17,1.0,8.0,2.0,2.0,3.0,1.0
gerechte,8,3.0,0.0,4.0,0.0,1.0,0.0
verbot,8,1.0,0.0,1.0,1.0,5.0,0.0
equality,7,0.0,1.0,0.0,0.0,0.0,6.0
wahn,7,4.0,3.0,0.0,0.0,0.0,0.0
stern,7,1.0,3.0,1.0,1.0,1.0,0.0
pay,5,0.0,1.0,0.0,0.0,2.0,2.0
quatsch,5,5.0,0.0,0.0,0.0,0.0,0.0
studies,4,0.0,2.0,0.0,0.0,1.0,1.0
star,3,0.0,0.0,0.0,2.0,1.0,0.0
ns,3,1.0,0.0,0.0,0.0,1.0,1.0
zwang,3,0.0,2.0,0.0,0.0,1.0,0.0
und,3,1.0,0.0,0.0,1.0,0.0,1.0
e,2,1.0,0.0,1.0,0.0,0.0,0.0
zeichen,2,0.0,2.0,0.0,0.0,0.0,0.0
neusprech,2,2.0,0.0,0.0,0.0,0.0,0.0
ismus,2,2.0,0.0,0.0,0.0,0.0,0.0
unsinn,2,2.0,0.0,0.0,0.0,0.0,0.0
partei,2,1.0,0.0,1.0,0.0,0.0,0.0
doppelpunkt,2,1.0,1.0,0.0,0.0,0.0,0.0
data,2,0.0,0.0,0.0,2.0,0.0,0.0
gerechtigkeit,2,1.0,0.0,1.0,0.0,0.0,0.0
gerechten,2,0.0,1.0,0.0,0.0,1.0,0.0
fanatiker,1,1.0,0.0,0.0,0.0,0.0,0.0
expression,1,0.0,0.0,0.0,0.0,0.0,1.0
fans,1,1.0,0.0,0.0,0.0,0.0,0.0
al,1,1.0,0.0,0.0,0.0,0.0,0.0
aufzwingen,1,0.0,0.0,0.0,0.0,1.0,0.0
econimics,1,0.0,0.0,0.0,1.0,0.0,0.0
budgeting,1,0.0,0.0,1.0,0.0,0.0,0.0
based,1,0.0,0.0,0.0,0.0,0.0,1.0
bias,1,0.0,0.0,0.0,1.0,0.0,0.0
dreck,1,1.0,0.0,0.0,0.0,0.0,0.0
behörde,1,0.0,0.0,0.0,1.0,0.0,0.0
belegen,1,1.0,0.0,0.0,0.0,0.0,0.0
diversenquote,1,1.0,0.0,0.0,0.0,0.0,0.0
gap,1,0.0,0.0,0.0,0.0,1.0,0.0
correctness,1,0.0,0.0,0.0,0.0,0.0,1.0
caregap,1,0.0,1.0,0.0,0.0,0.0,0.0
deutsch,1,1.0,0.0,0.0,0.0,0.0,0.0
kunstsprache,1,0.0,1.0,0.0,0.0,0.0,0.0
gerecht,1,0.0,0.0,0.0,0.0,0.0,1.0
schwurbelei,1,0.0,1.0,0.0,0.0,0.0,0.0
wissenschaft,1,0.0,0.0,1.0,0.0,0.0,0.0
wahnsinn,1,1.0,0.0,0.0,0.0,0.0,0.0
unterstrich,1,0.0,1.0,0.0,0.0,0.0,0.0
theorie,1,1.0,0.0,0.0,0.0,0.0,0.0
stotter,1,1.0,0.0,0.0,0.0,0.0,0.0
sternneindanke,1,0.0,1.0,0.0,0.0,0.0,0.0
sprech,1,0.0,1.0,0.0,0.0,0.0,0.0
sensitive,1,0.0,0.0,0.0,0.0,1.0,0.0
sensible,1,1.0,0.0,0.0,0.0,0.0,0.0
schwachsinns,1,1.0,0.0,0.0,0.0,0.0,0.0
https,1,0.0,0.0,0.0,0.0,1.0,0.0
rechtschreibung,1,0.0,0.0,0.0,0.0,0.0,1.0
projekt,1,1.0,0.0,0.0,0.0,0.0,0.0
nneindanke,1,0.0,1.0,0.0,0.0,0.0,0.0
neutrale,1,0.0,0.0,1.0,0.0,0.0,0.0
klo,1,1.0,0.0,0.0,0.0,0.0,0.0
isten,1,1.0,0.0,0.0,0.0,0.0,0.0
irrsinn,1,0.0,1.0,0.0,0.0,0.0,0.0
ideologie,1,1.0,0.0,0.0,0.0,0.0,0.0
identity,1,0.0,0.0,0.0,0.0,0.0,1.0
abwehrgefechten,1,0.0,1.0,0.0,0.0,0.0,0.0
